Fartøy ID,Registreringsmerke,Fartøynavn,Fartøytype,Fartøygruppe,Lengde (meter),Lengdegruppe,Bredde (meter),Bruttotonnasje,Byggeår,Motorkraft (kW),Hjemkommune,Nasjonalitet
1958004699,M 0106AE,DUEN,Fiskefartøy,Kyst,7.99,Under 11 m,3.2,8,1958,110.29411764705881,AURE,NORGE
1959006996,N 0162BØ,REINSBÅEN,Fiskefartøy,Kyst,15.53,"15-20,99 m",5.06,22,1959,187.5,BØ i Nordland,NORGE
1967011839,T 0353T,TOROLV,Fiskefartøy,Kyst,15.7,"15-20,99 m",4.89,24,1966,213.97058823529412,TROMSØ,NORGE
1969000787,M 0085G,NORDSTAR,Fiskefartøy,Hav,75.5,28 m og over ,13.0,2053,1969,3088.235294117647,GISKE,NORGE
1969006502,TF0024NK,AJAX,Fiskefartøy,Kyst,7.19,Under 11 m,2.8,4,1966,55.882352941176464,NORDKAPP,NORGE
1970007571,N 0298MS,ANN BRITA,Fiskefartøy,Kyst større,21.61,"21-27,99 m",5.97,79,1970,386.02941176470586,MOSKENES,NORGE
1971003988,M 0033S,BRUSØY,Fiskefartøy,Kyst,9.9,Under 11 m,3.03,10,1971,62.49999999999999,SANDE i Møre og Romsdal,NORGE
1972005078,F 0028A,NORLYS,Fiskefartøy,Kyst,9.57,Under 11 m,3.14,7,1991,73.52941176470588,ALTA,NORGE
1972005727,M 0403HØ,SÆVIKFISK,Fiskefartøy,Kyst,8.63,Under 11 m,2.71,7,1972,69.85294117647058,HERØY i Møre og Romsdal,NORGE
1972006901,N 0028BØ,KIMA,Fiskefartøy,Kyst,10.64,Under 11 m,3.57,10,1936,68.38235294117646,BØ i Nordland,NORGE
1972011116,T 0129T,SJÅBÅEN,Fiskefartøy,Kyst,9.42,Under 11 m,3.11,8,1972,49.99999999999999,TROMSØ,NORGE
1972011241,N 0055V,JOHANNE,Samfiskefartøy,Kyst,10.64,Under 11 m,3.41,9,1972,132.35294117647058,VÅGAN,NORGE
1973007843,F 0062NK,SPUTNIK,Fiskefartøy,Kyst,10.97,Under 11 m,3.58,11,1973,139.70588235294116,NORDKAPP,NORGE
1973009768,TF0029G,RYSTADBUEN,Fiskefartøy,Kyst,10.55,Under 11 m,2.99,8,1973,11.029411764705882,GAMVIK,NORGE
1973011832,M 0037F,ALF SENIOR,Fiskefartøy,Kyst,19.02,"15-20,99 m",5.67,43,1973,286.02941176470586,HUSTADVIKA,NORGE
1974000267,TF0242H,FERDINAND,Fiskefartøy,Kyst,10.45,Under 11 m,2.99,8,1974,111.76470588235293,HAMMERFEST,NORGE
1974000469,N 0072R,INGER ANN,Fiskefartøy,Kyst,9.02,Under 11 m,3.22,7,1974,80.1470588235294,RØDØY,NORGE
1974002186,TF0036G,TORSTIND,Fiskefartøy,Kyst,8.63,Under 11 m,2.71,7,1974,80.1470588235294,GAMVIK,NORGE
1974003285,VL0032B,SØRENES,Fiskefartøy,Kyst,7.71,Under 11 m,2.65,6,1974,58.8235294117647,BØMLO,NORGE
1975000921,AG0002T,ELDAR,Fiskefartøy,Kyst,10.63,Under 11 m,3.84,11,1929,132.35294117647058,TVEDESTRAND,NORGE
1975002821,N 0085MS,NOREGG,Samfiskefartøy,Kyst,10.64,Under 11 m,3.9,14,1975,95.58823529411764,MOSKENES,NORGE
1975007664,M 0005VS,VESTAR,Fiskefartøy,Kyst,8.63,Under 11 m,2.71,6,1975,77.20588235294117,VESTNES,NORGE
1975010063,TF0003SA,JENSEN KVITBERG,Fiskefartøy,Kyst,10.64,Under 11 m,3.41,10,1975,99.26470588235293,SØRREISA,NORGE
1975010906,T 0084T,FJORDFISK,Fiskefartøy,Kyst,10.61,Under 11 m,3.96,16,1975,110.29411764705881,TROMSØ,NORGE
1975012249,T 0891T,VENGSØYVÆRING,Fiskefartøy,Kyst,15.36,"15-20,99 m",4.69,24,1975,175.0,TROMSØ,NORGE
1975012814,VA0170M,EIGENES,Fiskefartøy,Kyst større,27.13,"21-27,99 m",7.08,251,1975,882.3529411764705,LINDESNES,NORGE
1976000510,N 0093BR,PRØVEN,Fiskefartøy,Kyst,7.53,Under 11 m,,3,1968,62.49999999999999,BRØNNØY,NORGE
1976005671,N 0037V,KARL-VIKTOR,Fiskefartøy,Kyst,19.48,"15-20,99 m",5.27,59,1969,477.9411764705882,VÅGAN,NORGE
1976006228,N 0010VV,ALF SENIOR,Fiskefartøy,Kyst,14.98,"11-14,99 m",4.8,23,1964,302.94117647058823,VESTVÅGØY,NORGE
1976006738,N 0005VV,SVANA,Fiskefartøy,Kyst,11.25,"11-14,99 m",3.6,10,1946,111.76470588235293,VESTVÅGØY,NORGE
1976007837,TF0003TS,EMIL,Fiskefartøy,Kyst,10.2,Under 11 m,3.06,9,1976,49.99999999999999,TJELDSUND,NORGE
1976009383,SF0210V,VESTER JUNIOR,Fiskefartøy,Kyst,10.61,Under 11 m,3.87,14,1976,136.02941176470588,KINN,NORGE
1976010048,ST0300F,JONAS,Fiskefartøy,Kyst,10.0,Under 11 m,3.45,12,1976,91.91176470588235,FRØYA,NORGE
1976011860,TF0055T,VI TO,Fiskefartøy,Kyst,8.44,Under 11 m,3.06,4,1962,45.588235294117645,TROMSØ,NORGE
1977000459,F 0030VS,VARANGERGUTT,Fiskefartøy,Kyst,10.36,Under 11 m,3.41,12,1977,169.1176470588235,VADSØ,NORGE
1977000577,F 0083G,MIE,Fiskefartøy,Kyst,10.64,Under 11 m,3.41,10,1976,75.0,GAMVIK,NORGE
1977003973,TF0008NK,POLAR,Fiskefartøy,Kyst,10.62,Under 11 m,3.89,14,1977,111.76470588235293,NORDKAPP,NORGE
1977006206,N 0272MS,FRØYBANKEN,Fiskefartøy,Kyst større,22.15,"21-27,99 m",5.44,92,1972,323.52941176470586,MOSKENES,NORGE
1977006958,M 0007HU,ØYVÆR,Fiskefartøy,Kyst,10.61,Under 11 m,3.87,14,1977,220.58823529411762,HUSTADVIKA,NORGE
1977009473,M 0036HØ,LANGAARD,Fiskefartøy,Kyst,10.61,Under 11 m,3.87,14,1976,95.58823529411764,HERØY i Møre og Romsdal,NORGE
1977009958,TR0106F,HILMARSON,Fiskefartøy,Kyst,9.72,Under 11 m,3.41,12,1977,75.0,FRØYA,NORGE
1977011655,F 0040SV,ANDREA,Fiskefartøy,Kyst,10.57,Under 11 m,3.1,9,1977,75.0,SØR-VARANGER,NORGE
1978002228,M 0002VD,HEIMEGUT,Fiskefartøy,Kyst,8.53,Under 11 m,2.9,9,1978,60.29411764705882,ØRSTA,NORGE
1978002308,TF0106NK,SJØMANN,Fiskefartøy,Kyst,10.14,Under 11 m,3.26,8,1978,75.0,NORDKAPP,NORGE
1978003876,N 0168Ø,MYREBUEN,Samfiskefartøy,Kyst,12.0,"11-14,99 m",3.6,15,1978,183.8235294117647,ØKSNES,NORGE
1978003952,VT0010S,KVEITA,Fiskefartøy,Kyst,12.95,"11-14,99 m",3.58,15,1978,180.1470588235294,SANDEFJORD,NORGE
1978006966,N 0151A,BLEIKSØY,Fiskefartøy,Kyst,14.95,"11-14,99 m",4.6,24,1978,275.735294117647,ANDØY,NORGE
1978009284,TF0009LA,MAGGAN,Fiskefartøy,Kyst,7.99,Under 11 m,2.79,5,1978,33.088235294117645,LOPPA,NORGE
1978012084,TF0052SE,KATRINE,Fiskefartøy,Kyst,4.95,Under 11 m,1.9,,1976,14.705882352941176,SENJA,NORGE
1979001423,F 0022A,JAN BØRRE,Fiskefartøy,Kyst,9.45,Under 11 m,3.05,8,1975,49.99999999999999,ALTA,NORGE
1979002403,N 0104VV,HAVGULL,Samfiskefartøy,Kyst,12.83,"11-14,99 m",3.96,17,1979,154.41176470588235,VESTVÅGØY,NORGE
1979004534,M 0004VS,LUSKENES,Fiskefartøy,Kyst,7.95,Under 11 m,2.7,3,1979,36.76470588235294,VESTNES,NORGE
1979006694,N 0119SO,KETLIN,Fiskefartøy,Hav,54.05,28 m og over ,10.0,752,1967,1647.0588235294117,SORTLAND,NORGE
1979007195,N 0113VV,ROGER,Fiskefartøy,Kyst større,27.47,"21-27,99 m",6.7,173,1978,735.2941176470588,VESTVÅGØY,NORGE
1979009923,ST0030R,BRANDY,Fiskefartøy,Kyst,9.45,Under 11 m,3.05,8,1979,88.23529411764706,ÅFJORD,NORGE
1979011940,T 0420LK,TOR-MORTEN,Fiskefartøy,Kyst,5.48,Under 11 m,2.05,,1979,29.41176470588235,SENJA,NORGE
1980002079,F 0100G,THANI,Samfiskefartøy,Kyst,11.55,"11-14,99 m",3.81,16,1980,110.29411764705881,GAMVIK,NORGE
1980003703,N 0010ME,GLOMNES,Fiskefartøy,Kyst,9.48,Under 11 m,3.15,7,1975,93.38235294117646,MELØY,NORGE
1980004432,TF0074LB,MATILDE,Fiskefartøy,Kyst,9.75,Under 11 m,3.5,9,1980,45.588235294117645,LEBESBY,NORGE
1980004799,TF0037V,SOLVARDEN,Fiskefartøy,Kyst,10.65,Under 11 m,3.9,13,1980,110.29411764705881,VARDØ,NORGE
1980005731,N 0040BR,SALHUSVÆRING,Fiskefartøy,Kyst,10.61,Under 11 m,3.3,8,1979,122.79411764705881,BRØNNØY,NORGE
