dato,uke_start,aar,maaned,ukenummer,ukedag,er_helg,er_helligdag,sesong
2024-01-01,2024-01-01,2024,1,1,1,False,True,vinter
2024-01-02,2024-01-01,2024,1,1,2,False,False,vinter
2024-01-03,2024-01-01,2024,1,1,3,False,False,vinter
2024-01-04,2024-01-01,2024,1,1,4,False,False,vinter
2024-01-05,2024-01-01,2024,1,1,5,False,False,vinter
2024-01-06,2024-01-01,2024,1,1,6,True,False,vinter
2024-01-07,2024-01-01,2024,1,1,7,True,False,vinter
2024-01-08,2024-01-08,2024,1,2,1,False,False,vinter
2024-01-09,2024-01-08,2024,1,2,2,False,False,vinter
2024-01-10,2024-01-08,2024,1,2,3,False,False,vinter
2024-01-11,2024-01-08,2024,1,2,4,False,False,vinter
2024-01-12,2024-01-08,2024,1,2,5,False,False,vinter
2024-01-13,2024-01-08,2024,1,2,6,True,False,vinter
2024-01-14,2024-01-08,2024,1,2,7,True,False,vinter
2024-01-15,2024-01-15,2024,1,3,1,False,False,vinter
2024-01-16,2024-01-15,2024,1,3,2,False,False,vinter
2024-01-17,2024-01-15,2024,1,3,3,False,False,vinter
2024-01-18,2024-01-15,2024,1,3,4,False,False,vinter
2024-01-19,2024-01-15,2024,1,3,5,False,False,vinter
2024-01-20,2024-01-15,2024,1,3,6,True,False,vinter
2024-01-21,2024-01-15,2024,1,3,7,True,False,vinter
2024-01-22,2024-01-22,2024,1,4,1,False,False,vinter
2024-01-23,2024-01-22,2024,1,4,2,False,False,vinter
2024-01-24,2024-01-22,2024,1,4,3,False,False,vinter
2024-01-25,2024-01-22,2024,1,4,4,False,False,vinter
2024-01-26,2024-01-22,2024,1,4,5,False,False,vinter
2024-01-27,2024-01-22,2024,1,4,6,True,False,vinter
2024-01-28,2024-01-22,2024,1,4,7,True,False,vinter
2024-01-29,2024-01-29,2024,1,5,1,False,False,vinter
2024-01-30,2024-01-29,2024,1,5,2,False,False,vinter
2024-01-31,2024-01-29,2024,1,5,3,False,False,vinter
2024-02-01,2024-01-29,2024,2,5,4,False,False,vinter
2024-02-02,2024-01-29,2024,2,5,5,False,False,vinter
2024-02-03,2024-01-29,2024,2,5,6,True,False,vinter
2024-02-04,2024-01-29,2024,2,5,7,True,False,vinter
2024-02-05,2024-02-05,2024,2,6,1,False,False,vinter
2024-02-06,2024-02-05,2024,2,6,2,False,False,vinter
2024-02-07,2024-02-05,2024,2,6,3,False,False,vinter
2024-02-08,2024-02-05,2024,2,6,4,False,False,vinter
2024-02-09,2024-02-05,2024,2,6,5,False,False,vinter
2024-02-10,2024-02-05,2024,2,6,6,True,False,vinter
2024-02-11,2024-02-05,2024,2,6,7,True,False,vinter
2024-02-12,2024-02-12,2024,2,7,1,False,False,vinter
2024-02-13,2024-02-12,2024,2,7,2,False,False,vinter
2024-02-14,2024-02-12,2024,2,7,3,False,False,vinter
2024-02-15,2024-02-12,2024,2,7,4,False,False,vinter
2024-02-16,2024-02-12,2024,2,7,5,False,False,vinter
2024-02-17,2024-02-12,2024,2,7,6,True,False,vinter
2024-02-18,2024-02-12,2024,2,7,7,True,False,vinter
2024-02-19,2024-02-19,2024,2,8,1,False,False,vinter
2024-02-20,2024-02-19,2024,2,8,2,False,False,vinter
2024-02-21,2024-02-19,2024,2,8,3,False,False,vinter
2024-02-22,2024-02-19,2024,2,8,4,False,False,vinter
2024-02-23,2024-02-19,2024,2,8,5,False,False,vinter
2024-02-24,2024-02-19,2024,2,8,6,True,False,vinter
2024-02-25,2024-02-19,2024,2,8,7,True,False,vinter
2024-02-26,2024-02-26,2024,2,9,1,False,False,vinter
2024-02-27,2024-02-26,2024,2,9,2,False,False,vinter
2024-02-28,2024-02-26,2024,2,9,3,False,False,vinter
2024-02-29,2024-02-26,2024,2,9,4,False,False,vinter
2024-03-01,2024-02-26,2024,3,9,5,False,False,vaar
2024-03-02,2024-02-26,2024,3,9,6,True,False,vaar
2024-03-03,2024-02-26,2024,3,9,7,True,False,vaar
2024-03-04,2024-03-04,2024,3,10,1,False,False,vaar
2024-03-05,2024-03-04,2024,3,10,2,False,False,vaar
2024-03-06,2024-03-04,2024,3,10,3,False,False,vaar
2024-03-07,2024-03-04,2024,3,10,4,False,False,vaar
2024-03-08,2024-03-04,2024,3,10,5,False,False,vaar
2024-03-09,2024-03-04,2024,3,10,6,True,False,vaar
2024-03-10,2024-03-04,2024,3,10,7,True,False,vaar
2024-03-11,2024-03-11,2024,3,11,1,False,False,vaar
2024-03-12,2024-03-11,2024,3,11,2,False,False,vaar
2024-03-13,2024-03-11,2024,3,11,3,False,False,vaar
2024-03-14,2024-03-11,2024,3,11,4,False,False,vaar
2024-03-15,2024-03-11,2024,3,11,5,False,False,vaar
2024-03-16,2024-03-11,2024,3,11,6,True,False,vaar
2024-03-17,2024-03-11,2024,3,11,7,True,False,vaar
2024-03-18,2024-03-18,2024,3,12,1,False,False,vaar
2024-03-19,2024-03-18,2024,3,12,2,False,False,vaar
2024-03-20,2024-03-18,2024,3,12,3,False,False,vaar
2024-03-21,2024-03-18,2024,3,12,4,False,False,vaar
2024-03-22,2024-03-18,2024,3,12,5,False,False,vaar
2024-03-23,2024-03-18,2024,3,12,6,True,False,vaar
2024-03-24,2024-03-18,2024,3,12,7,True,False,vaar
2024-03-25,2024-03-25,2024,3,13,1,False,False,vaar
2024-03-26,2024-03-25,2024,3,13,2,False,False,vaar
2024-03-27,2024-03-25,2024,3,13,3,False,False,vaar
2024-03-28,2024-03-25,2024,3,13,4,False,True,vaar
2024-03-29,2024-03-25,2024,3,13,5,False,True,vaar
2024-03-30,2024-03-25,2024,3,13,6,True,False,vaar
2024-03-31,2024-03-25,2024,3,13,7,True,False,vaar
2024-04-01,2024-04-01,2024,4,14,1,False,True,vaar
2024-04-02,2024-04-01,2024,4,14,2,False,False,vaar
2024-04-03,2024-04-01,2024,4,14,3,False,False,vaar
2024-04-04,2024-04-01,2024,4,14,4,False,False,vaar
2024-04-05,2024-04-01,2024,4,14,5,False,False,vaar
2024-04-06,2024-04-01,2024,4,14,6,True,False,vaar
2024-04-07,2024-04-01,2024,4,14,7,True,False,vaar
2024-04-08,2024-04-08,2024,4,15,1,False,False,vaar
2024-04-09,2024-04-08,2024,4,15,2,False,False,vaar
2024-04-10,2024-04-08,2024,4,15,3,False,False,vaar
2024-04-11,2024-04-08,2024,4,15,4,False,False,vaar
2024-04-12,2024-04-08,2024,4,15,5,False,False,vaar
2024-04-13,2024-04-08,2024,4,15,6,True,False,vaar
2024-04-14,2024-04-08,2024,4,15,7,True,False,vaar
2024-04-15,2024-04-15,2024,4,16,1,False,False,vaar
2024-04-16,2024-04-15,2024,4,16,2,False,False,vaar
2024-04-17,2024-04-15,2024,4,16,3,False,False,vaar
2024-04-18,2024-04-15,2024,4,16,4,False,False,vaar
2024-04-19,2024-04-15,2024,4,16,5,False,False,vaar
2024-04-20,2024-04-15,2024,4,16,6,True,False,vaar
2024-04-21,2024-04-15,2024,4,16,7,True,False,vaar
2024-04-22,2024-04-22,2024,4,17,1,False,False,vaar
2024-04-23,2024-04-22,2024,4,17,2,False,False,vaar
2024-04-24,2024-04-22,2024,4,17,3,False,False,vaar
2024-04-25,2024-04-22,2024,4,17,4,False,False,vaar
2024-04-26,2024-04-22,2024,4,17,5,False,False,vaar
2024-04-27,2024-04-22,2024,4,17,6,True,False,vaar
2024-04-28,2024-04-22,2024,4,17,7,True,False,vaar
2024-04-29,2024-04-29,2024,4,18,1,False,False,vaar
2024-04-30,2024-04-29,2024,4,18,2,False,False,vaar
2024-05-01,2024-04-29,2024,5,18,3,False,True,vaar
2024-05-02,2024-04-29,2024,5,18,4,False,False,vaar
2024-05-03,2024-04-29,2024,5,18,5,False,False,vaar
2024-05-04,2024-04-29,2024,5,18,6,True,False,vaar
2024-05-05,2024-04-29,2024,5,18,7,True,False,vaar
2024-05-06,2024-05-06,2024,5,19,1,False,False,vaar
2024-05-07,2024-05-06,2024,5,19,2,False,False,vaar
2024-05-08,2024-05-06,2024,5,19,3,False,False,vaar
2024-05-09,2024-05-06,2024,5,19,4,False,True,vaar
2024-05-10,2024-05-06,2024,5,19,5,False,False,vaar
2024-05-11,2024-05-06,2024,5,19,6,True,False,vaar
2024-05-12,2024-05-06,2024,5,19,7,True,False,vaar
2024-05-13,2024-05-13,2024,5,20,1,False,False,vaar
2024-05-14,2024-05-13,2024,5,20,2,False,False,vaar
2024-05-15,2024-05-13,2024,5,20,3,False,False,vaar
2024-05-16,2024-05-13,2024,5,20,4,False,False,vaar
2024-05-17,2024-05-13,2024,5,20,5,False,True,vaar
2024-05-18,2024-05-13,2024,5,20,6,True,False,vaar
2024-05-19,2024-05-13,2024,5,20,7,True,False,vaar
2024-05-20,2024-05-20,2024,5,21,1,False,True,vaar
2024-05-21,2024-05-20,2024,5,21,2,False,False,vaar
2024-05-22,2024-05-20,2024,5,21,3,False,False,vaar
2024-05-23,2024-05-20,2024,5,21,4,False,False,vaar
2024-05-24,2024-05-20,2024,5,21,5,False,False,vaar
2024-05-25,2024-05-20,2024,5,21,6,True,False,vaar
2024-05-26,2024-05-20,2024,5,21,7,True,False,vaar
2024-05-27,2024-05-27,2024,5,22,1,False,False,vaar
2024-05-28,2024-05-27,2024,5,22,2,False,False,vaar
2024-05-29,2024-05-27,2024,5,22,3,False,False,vaar
2024-05-30,2024-05-27,2024,5,22,4,False,False,vaar
2024-05-31,2024-05-27,2024,5,22,5,False,False,vaar
2024-06-01,2024-05-27,2024,6,22,6,True,False,sommer
2024-06-02,2024-05-27,2024,6,22,7,True,False,sommer
2024-06-03,2024-06-03,2024,6,23,1,False,False,sommer
2024-06-04,2024-06-03,2024,6,23,2,False,False,sommer
2024-06-05,2024-06-03,2024,6,23,3,False,False,sommer
2024-06-06,2024-06-03,2024,6,23,4,False,False,sommer
2024-06-07,2024-06-03,2024,6,23,5,False,False,sommer
2024-06-08,2024-06-03,2024,6,23,6,True,False,sommer
2024-06-09,2024-06-03,2024,6,23,7,True,False,sommer
2024-06-10,2024-06-10,2024,6,24,1,False,False,sommer
2024-06-11,2024-06-10,2024,6,24,2,False,False,sommer
2024-06-12,2024-06-10,2024,6,24,3,False,False,sommer
2024-06-13,2024-06-10,2024,6,24,4,False,False,sommer
2024-06-14,2024-06-10,2024,6,24,5,False,False,sommer
2024-06-15,2024-06-10,2024,6,24,6,True,False,sommer
2024-06-16,2024-06-10,2024,6,24,7,True,False,sommer
2024-06-17,2024-06-17,2024,6,25,1,False,False,sommer
2024-06-18,2024-06-17,2024,6,25,2,False,False,sommer
2024-06-19,2024-06-17,2024,6,25,3,False,False,sommer
2024-06-20,2024-06-17,2024,6,25,4,False,False,sommer
2024-06-21,2024-06-17,2024,6,25,5,False,False,sommer
2024-06-22,2024-06-17,2024,6,25,6,True,False,sommer
2024-06-23,2024-06-17,2024,6,25,7,True,False,sommer
2024-06-24,2024-06-24,2024,6,26,1,False,False,sommer
2024-06-25,2024-06-24,2024,6,26,2,False,False,sommer
2024-06-26,2024-06-24,2024,6,26,3,False,False,sommer
2024-06-27,2024-06-24,2024,6,26,4,False,False,sommer
2024-06-28,2024-06-24,2024,6,26,5,False,False,sommer
2024-06-29,2024-06-24,2024,6,26,6,True,False,sommer
2024-06-30,2024-06-24,2024,6,26,7,True,False,sommer
2024-07-01,2024-07-01,2024,7,27,1,False,False,sommer
2024-07-02,2024-07-01,2024,7,27,2,False,False,sommer
