Seddelnummer;Landingsdato;Fartøy ID;Art FAO (kode);Art FAO (navn);Fangstområde (kode);Fangstområde (navn);Redskap (kode);Rundvekt (kg)
7-7000011647132-1;01.01.2024;2012056890;COD;Torsk;03;Øst-Finnmark;35;773.0
7-7000011647132-2;01.01.2024;2012056890;COD;Torsk;03;Øst-Finnmark;35;1615.5
7-7000011647152-1;02.01.2024;1992001651;COD;Torsk;03;Øst-Finnmark;32;350.0
7-7000011647152-2;02.01.2024;1992001651;COD;Torsk;03;Øst-Finnmark;32;557.0
7-7000011647158-1;02.01.2024;2022120658;COD;Torsk;03;Øst-Finnmark;22;388.0
7-7000011647172-7;02.01.2024;2007038108;COD;Torsk;03;Øst-Finnmark;20;401.0
7-7000011647193-4;02.01.2024;2016073034;COD;Torsk;03;Øst-Finnmark;22;280.0
7-7000011647201-1;02.01.2024;2019108873;COD;Torsk;03;Øst-Finnmark;32;59.0
7-7000011648950-1;02.01.2024;1982011534;COD;Torsk;03;Øst-Finnmark;32;0.0
7-7000011647131-1;01.01.2024;1977006206;COD;Torsk;04;Vest-Finnmark;22;4200.0
7-7000011647131-2;01.01.2024;1977006206;COD;Torsk;04;Vest-Finnmark;22;3447.0
7-7000011647131-3;01.01.2024;1977006206;COD;Torsk;04;Vest-Finnmark;22;2038.0
7-7000011647131-4;01.01.2024;1977006206;COD;Torsk;04;Vest-Finnmark;22;509.0
7-7000011647904-1;01.01.2024;1977006206;COD;Torsk;04;Vest-Finnmark;22;0.0
7-7000011647146-1;02.01.2024;1998012857;COD;Torsk;04;Vest-Finnmark;22;3355.92
7-7000011647146-2;02.01.2024;1998012857;COD;Torsk;04;Vest-Finnmark;22;13908.66
7-7000011647146-3;02.01.2024;1998012857;COD;Torsk;04;Vest-Finnmark;22;2291.56
7-7000011647147-6;02.01.2024;1995009266;COD;Torsk;04;Vest-Finnmark;22;946.0
7-7000011647129-1;01.01.2024;1978006966;COD;Torsk;05;Røstbanken til Malangsgrunnen;22;220.5
7-7000011647133-1;01.01.2024;1995010273;COD;Torsk;05;Røstbanken til Malangsgrunnen;22;202.96
7-7000011647137-1;01.01.2024;1994007316;COD;Torsk;05;Røstbanken til Malangsgrunnen;22;286.74
7-7000011647138-1;01.01.2024;2022122257;COD;Torsk;05;Røstbanken til Malangsgrunnen;22;615.96
7-7000011647142-1;01.01.2024;2016071793;COD;Torsk;05;Røstbanken til Malangsgrunnen;22;374.0
7-7000011647143-8;01.01.2024;2021117057;COD;Torsk;05;Røstbanken til Malangsgrunnen;22;903.0
7-7000011647311-1;01.01.2024;1982003829;COD;Torsk;05;Røstbanken til Malangsgrunnen;61;10422.0
7-7000011647145-1;02.01.2024;1994008209;COD;Torsk;05;Røstbanken til Malangsgrunnen;22;118.0
7-7000011647154-6;02.01.2024;1996011620;COD;Torsk;05;Røstbanken til Malangsgrunnen;32;0.0
7-700005624305-6;01.01.2024;1991009695;COD;Torsk;06;Helgelandsbanken;22;6.0
7-700005624305-7;01.01.2024;1991009695;COD;Torsk;06;Helgelandsbanken;22;10.5
7-7000011647221-1;02.01.2024;1988005440;COD;Torsk;06;Helgelandsbanken;22;43.0
7-7000011647262-1;02.01.2024;1992003859;COD;Torsk;06;Helgelandsbanken;22;19.5
7-7000011647262-2;02.01.2024;1992003859;COD;Torsk;06;Helgelandsbanken;22;37.0
7-7000011647397-1;03.01.2024;2015071739;COD;Torsk;06;Helgelandsbanken;22;20.06
7-7000011647620-1;04.01.2024;2015071739;COD;Torsk;06;Helgelandsbanken;22;3.54
7-7000011647689-2;04.01.2024;2007037645;COD;Torsk;06;Helgelandsbanken;22;129.8
7-700005624308-5;07.01.2024;;COD;Torsk;06;Helgelandsbanken;22;9.3
6-259878-4;01.01.2024;1986004733;COD;Torsk;07;Storegga-Frøyabanken;33;9.0
7-7000011647135-1;01.01.2024;1984005700;COD;Torsk;07;Storegga-Frøyabanken;22;427.5
7-7000011647135-2;01.01.2024;1984005700;COD;Torsk;07;Storegga-Frøyabanken;22;37.5
7-7000011647136-1;01.01.2024;2020112693;COD;Torsk;07;Storegga-Frøyabanken;22;54.0
6-259881-5;02.01.2024;1994004742;COD;Torsk;07;Storegga-Frøyabanken;61;711.54
6-259895-1;02.01.2024;;COD;Torsk;07;Storegga-Frøyabanken;33;316.5
6-259897-1;02.01.2024;1988012458;COD;Torsk;07;Storegga-Frøyabanken;61;613.6
6-259898-1;02.01.2024;1988003881;COD;Torsk;07;Storegga-Frøyabanken;61;465.0
6-259903-1;02.01.2024;2013061552;COD;Torsk;07;Storegga-Frøyabanken;61;1772.36
4-3018410-8;02.01.2024;2017099513;COD;Torsk;08;Eigersundbanken;42;65.55
4-3018410-9;02.01.2024;2017099513;COD;Torsk;08;Eigersundbanken;42;11.55
4-3018411-2;02.01.2024;2000013887;COD;Torsk;08;Eigersundbanken;22;23.25
4-3018411-7;02.01.2024;2000013887;COD;Torsk;08;Eigersundbanken;22;4.5
4-3018413-2;02.01.2024;2017100473;COD;Torsk;08;Eigersundbanken;22;1.8
4-3018415-4;02.01.2024;2017075193;COD;Torsk;08;Eigersundbanken;22;94.5
4-3018415-5;02.01.2024;2017075193;COD;Torsk;08;Eigersundbanken;22;39.75
2-4035462-2;02.01.2024;2011056570;COD;Torsk;08;Eigersundbanken;22;9.44
2-4035556-1;06.01.2024;;COD;Torsk;08;Eigersundbanken;33;43.4
7-7000011647152-3;02.01.2024;1992001651;HAD;Hyse;03;Øst-Finnmark;32;390.0
7-7000011647152-4;02.01.2024;1992001651;HAD;Hyse;03;Øst-Finnmark;32;401.0
7-7000011647158-3;02.01.2024;2022120658;HAD;Hyse;03;Øst-Finnmark;22;3.0
7-7000011647172-3;02.01.2024;2007038108;HAD;Hyse;03;Øst-Finnmark;20;20.5
7-7000011647193-2;02.01.2024;2016073034;HAD;Hyse;03;Øst-Finnmark;22;150.0
7-7000011647201-5;02.01.2024;2019108873;HAD;Hyse;03;Øst-Finnmark;32;2911.0
7-7000011647201-6;02.01.2024;2019108873;HAD;Hyse;03;Øst-Finnmark;32;728.0
7-7000011647228-4;02.01.2024;1988006259;HAD;Hyse;03;Øst-Finnmark;22;180.0
7-7100010033419-10;05.01.2024;1999001513;HAD;Hyse;03;Øst-Finnmark;51;0.0
7-7000011647146-8;02.01.2024;1998012857;HAD;Hyse;04;Vest-Finnmark;22;11.4
7-7000011647147-3;02.01.2024;1995009266;HAD;Hyse;04;Vest-Finnmark;22;3.0
7-7000011647151-2;02.01.2024;2015071616;HAD;Hyse;04;Vest-Finnmark;22;5.0
7-7000011647159-3;02.01.2024;2011054488;HAD;Hyse;04;Vest-Finnmark;22;1.14
7-7000011647176-1;02.01.2024;1994010633;HAD;Hyse;04;Vest-Finnmark;22;1.0
7-7000011647181-2;02.01.2024;2003022526;HAD;Hyse;04;Vest-Finnmark;32;227.0
7-7000011647181-3;02.01.2024;2003022526;HAD;Hyse;04;Vest-Finnmark;32;140.0
7-7000011647185-2;02.01.2024;1988010382;HAD;Hyse;04;Vest-Finnmark;32;61.0
7-7000011647129-4;01.01.2024;1978006966;HAD;Hyse;05;Røstbanken til Malangsgrunnen;22;33.6
7-7000011647133-4;01.01.2024;1995010273;HAD;Hyse;05;Røstbanken til Malangsgrunnen;22;23.94
7-7000011647137-4;01.01.2024;1994007316;HAD;Hyse;05;Røstbanken til Malangsgrunnen;22;9.12
7-7000011647138-4;01.01.2024;2022122257;HAD;Hyse;05;Røstbanken til Malangsgrunnen;22;49.02
7-7000011647142-3;01.01.2024;2016071793;HAD;Hyse;05;Røstbanken til Malangsgrunnen;22;17.0
7-7000011647143-4;01.01.2024;2021117057;HAD;Hyse;05;Røstbanken til Malangsgrunnen;22;34.2
7-7000011647311-2;01.01.2024;1982003829;HAD;Hyse;05;Røstbanken til Malangsgrunnen;61;3172.0
7-7000011647149-2;02.01.2024;1990004459;HAD;Hyse;05;Røstbanken til Malangsgrunnen;22;28.0
7-7000011647187-5;02.01.2024;1990010087;HAD;Hyse;05;Røstbanken til Malangsgrunnen;22;0.0
7-700005624305-5;01.01.2024;1991009695;HAD;Hyse;06;Helgelandsbanken;22;15.96
7-7000011647221-2;02.01.2024;1988005440;HAD;Hyse;06;Helgelandsbanken;22;36.48
7-7000011647397-4;03.01.2024;2015071739;HAD;Hyse;06;Helgelandsbanken;22;42.18
7-7000011647620-4;04.01.2024;2015071739;HAD;Hyse;06;Helgelandsbanken;22;13.68
7-7000011647689-1;04.01.2024;2007037645;HAD;Hyse;06;Helgelandsbanken;22;899.46
7-7000011647752-2;04.01.2024;1988005440;HAD;Hyse;06;Helgelandsbanken;22;9.5
7-7000011647773-2;04.01.2024;1980006143;HAD;Hyse;06;Helgelandsbanken;22;67.0
7-7000011647846-3;04.01.2024;2009048128;HAD;Hyse;06;Helgelandsbanken;22;28.5
7-700005624308-3;07.01.2024;;HAD;Hyse;06;Helgelandsbanken;22;11.4
6-259881-1;02.01.2024;1994004742;HAD;Hyse;07;Storegga-Frøyabanken;61;115.14
6-259897-2;02.01.2024;1988012458;HAD;Hyse;07;Storegga-Frøyabanken;61;489.06
6-259898-7;02.01.2024;1988003881;HAD;Hyse;07;Storegga-Frøyabanken;61;355.0
6-259903-3;02.01.2024;2013061552;HAD;Hyse;07;Storegga-Frøyabanken;61;365.94
6-259906-2;02.01.2024;1998012575;HAD;Hyse;07;Storegga-Frøyabanken;61;292.98
6-259907-3;02.01.2024;2016073173;HAD;Hyse;07;Storegga-Frøyabanken;61;974.0
6-259907-4;02.01.2024;2016073173;HAD;Hyse;07;Storegga-Frøyabanken;61;408.12
6-259908-2;02.01.2024;1996006986;HAD;Hyse;07;Storegga-Frøyabanken;61;145.92
7-7100010033393-2;02.01.2024;2000013333;HAD;Hyse;07;Storegga-Frøyabanken;22;0.0
4-3018410-1;02.01.2024;2017099513;HAD;Hyse;08;Eigersundbanken;42;1.96
4-3018415-6;02.01.2024;2017075193;HAD;Hyse;08;Eigersundbanken;22;11.4
4-3018425-1;03.01.2024;2017099513;HAD;Hyse;08;Eigersundbanken;42;2.94
4-3018441-1;04.01.2024;2017099513;HAD;Hyse;08;Eigersundbanken;42;8.54
4-3018445-1;04.01.2024;2000013434;HAD;Hyse;08;Eigersundbanken;22;25.2
2-4035491-2;04.01.2024;1991008785;HAD;Hyse;08;Eigersundbanken;61;85.5
2-4035491-3;04.01.2024;1991008785;HAD;Hyse;08;Eigersundbanken;61;556.32
2-4035493-5;04.01.2024;1999008413;HAD;Hyse;08;Eigersundbanken;61;438.9
2-4035536-13;06.01.2024;1999008413;HAD;Hyse;08;Eigersundbanken;61;0.0
7-7000011647172-6;02.01.2024;2007038108;POK;Sei;03;Øst-Finnmark;20;974.5
7-7000011647193-6;02.01.2024;2016073034;POK;Sei;03;Øst-Finnmark;22;2078.0
7-7000011647193-7;02.01.2024;2016073034;POK;Sei;03;Øst-Finnmark;22;1000.0
7-7000011647201-9;02.01.2024;2019108873;POK;Sei;03;Øst-Finnmark;32;1.0
7-7000011647228-7;02.01.2024;1988006259;POK;Sei;03;Øst-Finnmark;22;1640.0
7-7000011647382-6;03.01.2024;2016073034;POK;Sei;03;Øst-Finnmark;22;725.0
7-7000011647382-7;03.01.2024;2016073034;POK;Sei;03;Øst-Finnmark;22;1000.0
7-7000011647444-6;03.01.2024;1988006259;POK;Sei;03;Øst-Finnmark;22;2800.0
